dataset,x,y
d,55.3846,97.1795
d,51.5385,96.0256
d,46.1538,94.4872
d,42.8205,91.4103
d,40.7692,88.3333
d,38.7179,84.8718
d,35.641,79.8718
d,33.0769,77.5641
d,28.9744,74.4872
d,26.1538,71.4103
d,23.0769,66.4103
d,22.3077,61.7949
d,22.3077,57.1795
d,23.3333,52.9487
d,25.8974,51.0256
d,29.4872,51.0256
d,32.8205,51.0256
d,35.3846,51.4103
d,40.2564,51.4103
d,44.1026,52.9487
d,46.6667,54.1026
d,50,55.2564
d,53.0769,55.641
d,56.6667,56.0256
d,59.2308,57.9487
d,61.2821,62.1795
d,61.5385,66.4103
d,61.7949,69.1026
d,57.4359,55.2564
d,54.8718,49.8718
d,52.5641,46.0256
d,48.2051,38.3333
d,49.4872,42.1795
d,51.0256,44.1026
d,45.3846,36.4103
d,42.8205,32.5641
d,38.7179,31.4103
d,35.1282,30.2564
d,32.5641,32.1795
d,30,36.7949
d,33.5897,41.4103
d,36.6667,45.641
d,38.2051,49.1026
d,29.7436,36.0256
d,29.7436,32.1795
d,30,29.1026
d,32.0513,26.7949
d,35.8974,25.2564
d,41.0256,25.2564
d,44.1026,25.641
d,47.1795,28.718
d,49.4872,31.4103
d,51.5385,34.8718
d,53.5897,37.5641
d,55.1282,40.641
d,56.6667,42.1795
d,59.2308,44.4872
d,62.3077,46.0256
d,64.8718,46.7949
d,67.9487,47.9487
d,70.5128,53.718
d,71.5385,60.641
d,71.5385,64.4872
d,69.4872,69.4872
d,46.9231,79.8718
d,48.2051,84.1026
d,50,85.2564
d,53.0769,85.2564
d,55.3846,86.0256
d,56.6667,86.0256
d,56.1538,82.9487
d,53.8462,80.641
d,51.2821,78.718
d,50,78.718
d,47.9487,77.5641
d,29.7436,59.8718
d,29.7436,62.1795
d,31.2821,62.5641
d,57.9487,99.4872
d,61.7949,99.1026
d,64.8718,97.5641
d,68.4615,94.1026
d,70.7692,91.0256
d,72.0513,86.4103
d,73.8462,83.3333
d,75.1282,79.1026
d,76.6667,75.2564
d,77.6923,71.4103
d,79.7436,66.7949
d,81.7949,60.2564
d,83.3333,55.2564
d,85.1282,51.4103
d,86.4103,47.5641
d,87.9487,46.0256
d,89.4872,42.5641
d,93.3333,39.8718
d,95.3846,36.7949
d,98.2051,33.718
d,56.6667,40.641
d,59.2308,38.3333
d,60.7692,33.718
d,63.0769,29.1026
d,64.1026,25.2564
d,64.359,24.1026
d,74.359,22.9487
d,71.2821,22.9487
d,67.9487,22.1795
d,65.8974,20.2564
d,63.0769,19.1026
d,61.2821,19.1026
d,58.7179,18.3333
d,55.1282,18.3333
d,52.3077,18.3333
d,49.7436,17.5641
d,47.4359,16.0256
d,44.8718,13.718
d,48.7179,14.8718
d,51.2821,14.8718
d,54.1026,14.8718
d,56.1538,14.1026
d,52.0513,12.5641
d,48.7179,11.0256
d,47.1795,9.8718
d,46.1538,6.0256
d,50.5128,9.4872
d,53.8462,10.2564
d,57.4359,10.2564
d,60,10.641
d,64.1026,10.641
d,66.9231,10.641
d,71.2821,10.641
d,74.359,10.641
d,78.2051,10.641
d,67.9487,8.718
d,68.4615,5.2564
d,68.2051,2.9487
d,37.6923,25.7692
d,39.4872,25.3846
d,91.2821,41.5385
d,50,95.7692
d,47.9487,95
d,44.1026,92.6923
a,32.33111023,61.41110125
a,53.42146288,26.18688039
a,63.92020226,30.83219392
a,70.28950572,82.53364859
a,34.11883024,45.73455132
a,67.6707164,37.11094797
a,53.25912941,97.4757711
a,63.51498087,25.10007858
a,67.98053881,80.95716522
a,67.3724659,29.7204002
a,15.56074952,80.06564029
a,71.79076769,71.06546666
a,70.24254644,24.10959755
a,64.93743554,81.55420499
a,62.21352455,21.475839
a,67.26940048,18.70896837
a,40.57019704,79.37296348
a,74.74118133,21.1016372
a,71.76831892,20.01106184
a,76.16691981,75.9361704
a,65.62365744,15.58280335
a,50.85063364,13.98760163
a,33.02407002,24.46783039
a,39.70632617,84.2752871
a,45.59648495,9.763348849
a,42.96804691,17.9454584
a,52.49440678,16.0511142
a,46.08227578,23.11045782
a,74.24770821,20.31418781
a,64.56826419,83.6396339
a,74.02169391,76.12827451
a,62.39118056,5.623070761
a,74.18903668,68.13358322
a,28.23678194,56.13959645
a,75.77193879,69.82923003
a,75.85522947,62.51704429
a,65.97085702,72.744856
a,21.77804048,6.616625307
a,67.75979625,72.42120153
a,78.61719534,52.57525731
a,68.50770819,15.45691897
a,74.88502116,25.41660632
a,66.45490366,19.83662865
a,77.3178021,48.39834644
a,58.91246032,75.66775622
a,57.61744782,8.194800603
a,76.0882258,59.67993002
a,57.46605055,1.504418175
a,79.42838349,45.21079429
a,76.35652215,10.41824113
a,64.40507526,78.58417608
a,40.63504181,73.39475037
a,43.94986459,75.95871567
a,30.99622058,71.69440494
a,68.23076899,80.87250166
a,72.04638946,12.91800673
a,46.59276797,84.97238278
a,49.25721834,81.88140323
a,42.78176125,12.99118843
a,65.4759522,14.27458564
a,71.96508265,17.71023594
a,32.14646234,43.48170944
a,31.8384977,71.81216539
a,31.00525826,40.68250301
a,80.47089432,49.50214835
a,71.96416711,41.87428267
a,78.07942144,93.13331677
a,41.67759577,30.20126408
a,65.95359519,31.14740608
a,62.93445937,31.9163907
a,64.37379798,28.86258341
a,72.50932836,39.54013025
a,30.05228987,96.61754235
a,28.00332424,46.67219195
a,75.40122686,88.63907662
a,38.98001542,87.32216069
a,65.21991355,84.68295493
a,73.05398996,29.38080856
a,34.39836164,59.5444469
a,43.49045013,40.78254207
a,55.13873797,30.72576036
a,43.68439343,32.82300987
